epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,969.724,1.04392,0.92729,1.49913,0.04032,0.88376,0.85381,0.92902,0.74904,0.70835,0.50827,1.29451,0.02476,0.0081685,0.0081685,0.0081685
39,994.934,1.04314,0.93168,1.50878,0.03991,0.85303,0.88188,0.93159,0.75684,0.70117,0.51551,1.28816,0.02122,0.008119,0.008119,0.008119
40,1020.17,1.03863,0.9231,1.50303,0.0383,0.87338,0.87283,0.9293,0.74597,0.72124,0.55077,1.30644,0.01911,0.0080695,0.0080695,0.0080695
41,1045.53,1.04108,0.92002,1.49734,0.03798,0.88061,0.84054,0.91968,0.74157,0.70269,0.55722,1.29334,0.02172,0.00802,0.00802,0.00802
42,1070.77,1.04776,0.92791,1.51738,0.03759,0.88565,0.88935,0.94388,0.77205,0.68396,0.50326,1.27638,0.02101,0.0079705,0.0079705,0.0079705
43,1095.98,1.03717,0.90527,1.50459,0.03716,0.87135,0.87807,0.93253,0.75889,0.68393,0.52566,1.27899,0.02177,0.007921,0.007921,0.007921
44,1121.2,1.02127,0.89664,1.47958,0.03862,0.84008,0.90227,0.93222,0.76273,0.68699,0.50178,1.2854,0.01998,0.0078715,0.0078715,0.0078715
45,1146.36,1.02464,0.8904,1.48851,0.03818,0.90427,0.86457,0.93997,0.77297,0.6784,0.48277,1.27946,0.02145,0.007822,0.007822,0.007822
46,1171.78,1.02691,0.91111,1.49131,0.0362,0.8899,0.86771,0.9419,0.77226,0.68892,0.49477,1.27341,0.02058,0.0077725,0.0077725,0.0077725
47,1197.06,1.03344,0.8922,1.50037,0.03659,0.86812,0.89926,0.94196,0.77712,0.67703,0.47944,1.26456,0.01842,0.007723,0.007723,0.007723
48,1222.21,1.0248,0.8857,1.47632,0.03795,0.88148,0.88192,0.9392,0.76823,0.68308,0.49868,1.27596,0.01865,0.0076735,0.0076735,0.0076735
49,1247.41,1.02484,0.88346,1.48083,0.03704,0.88004,0.89054,0.93687,0.76363,0.68836,0.49732,1.27121,0.0221,0.007624,0.007624,0.007624
50,1272.62,1.01025,0.86866,1.4749,0.03558,0.89603,0.87283,0.94454,0.7763,0.67272,0.48138,1.2653,0.01856,0.0075745,0.0075745,0.0075745
51,1297.96,1.01596,0.88297,1.48677,0.03523,0.87333,0.88026,0.93754,0.76962,0.67367,0.4867,1.27201,0.0151,0.007525,0.007525,0.007525
52,1323.2,1.02102,0.88458,1.47798,0.03536,0.88734,0.891,0.94507,0.7825,0.67345,0.478,1.26916,0.0154,0.0074755,0.0074755,0.0074755
