epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
159,4048.11,0.76032,0.5486,1.3029,0.01667,0.90538,0.92445,0.96137,0.8255,0.60185,0.37817,1.20156,0.01111,0.002179,0.002179,0.002179
160,4073.44,0.75629,0.54856,1.29792,0.01582,0.90447,0.92238,0.96127,0.82545,0.60236,0.37838,1.20133,0.0111,0.0021295,0.0021295,0.0021295
161,4098.87,0.75321,0.5435,1.29967,0.01593,0.90792,0.91908,0.96131,0.825,0.60272,0.37857,1.20164,0.01108,0.00208,0.00208,0.00208
162,4123.9,0.75666,0.54796,1.3058,0.01599,0.91951,0.90999,0.96122,0.82503,0.60284,0.37892,1.20195,0.01106,0.0020305,0.0020305,0.0020305
163,4148.91,0.75138,0.5416,1.29238,0.01549,0.922,0.90917,0.96116,0.82459,0.60272,0.37917,1.20194,0.01105,0.001981,0.001981,0.001981
164,4174.3,0.75005,0.53262,1.30023,0.01525,0.91987,0.90834,0.96124,0.82492,0.60246,0.37869,1.20222,0.01105,0.0019315,0.0019315,0.0019315
165,4199.71,0.75533,0.54911,1.30081,0.01617,0.91959,0.90917,0.96119,0.82456,0.60234,0.37875,1.20216,0.01104,0.001882,0.001882,0.001882
166,4224.93,0.75537,0.53536,1.29505,0.01534,0.91892,0.90917,0.96129,0.8241,0.60283,0.37925,1.202,0.01105,0.0018325,0.0018325,0.0018325
167,4250.14,0.74528,0.53046,1.29151,0.01543,0.91871,0.90917,0.96131,0.82422,0.60303,0.37942,1.20201,0.01104,0.001783,0.001783,0.001783
168,4275.46,0.74446,0.53893,1.28962,0.01517,0.91842,0.90834,0.96128,0.82379,0.60319,0.37938,1.2022,0.01106,0.0017335,0.0017335,0.0017335
169,4300.65,0.74796,0.53839,1.29717,0.0155,0.92131,0.90874,0.96155,0.82409,0.60347,0.37981,1.20258,0.01104,0.001684,0.001684,0.001684
170,4325.83,0.7398,0.52895,1.29017,0.01527,0.92019,0.90917,0.96155,0.82391,0.60357,0.38018,1.20265,0.01104,0.0016345,0.0016345,0.0016345
171,4351.04,0.73996,0.5264,1.28727,0.01523,0.91767,0.91127,0.96134,0.82443,0.6038,0.37982,1.20268,0.01103,0.001585,0.001585,0.001585
172,4376.08,0.73992,0.52745,1.29249,0.01535,0.91505,0.91082,0.9614,0.8249,0.60372,0.38027,1.20284,0.01104,0.0015355,0.0015355,0.0015355
173,4401.31,0.75259,0.5373,1.3051,0.01549,0.91435,0.91164,0.96128,0.82412,0.60365,0.37979,1.20295,0.01104,0.001486,0.001486,0.001486
174,4426.52,0.73957,0.5217,1.28991,0.01541,0.91345,0.91329,0.96124,0.82399,0.60325,0.37964,1.20269,0.01104,0.0014365,0.0014365,0.0014365
175,4451.69,0.73657,0.52424,1.28626,0.01479,0.91518,0.91247,0.96126,0.82458,0.60365,0.38013,1.20281,0.01102,0.001387,0.001387,0.001387
176,4476.84,0.74408,0.52726,1.2974,0.01485,0.91404,0.91247,0.96132,0.82463,0.60343,0.3805,1.20223,0.01101,0.0013375,0.0013375,0.0013375
177,4502.1,0.73241,0.52035,1.29098,0.01549,0.91363,0.91247,0.96136,0.82427,0.60342,0.3809,1.20207,0.011,0.001288,0.001288,0.001288
178,4527.5,0.73309,0.52707,1.28914,0.01511,0.91281,0.91164,0.96111,0.82394,0.60335,0.38044,1.20203,0.01099,0.0012385,0.0012385,0.0012385
179,4552.75,0.72554,0.51807,1.28059,0.0151,0.91237,0.91139,0.96104,0.82398,0.60344,0.38092,1.20196,0.01098,0.001189,0.001189,0.001189
180,4578.02,0.72819,0.50979,1.28215,0.01462,0.91263,0.91082,0.96094,0.82419,0.60325,0.38105,1.20187,0.01099,0.0011395,0.0011395,0.0011395
181,4603.02,0.72083,0.50993,1.28154,0.0147,0.91245,0.91082,0.96098,0.82443,0.60332,0.38101,1.20201,0.01097,0.00109,0.00109,0.00109
182,4628.28,0.73139,0.51518,1.2844,0.01542,0.90622,0.91766,0.96094,0.82406,0.60319,0.38085,1.20206,0.01096,0.0010405,0.0010405,0.0010405
183,4653.63,0.71804,0.5118,1.27406,0.01527,0.90407,0.91742,0.96091,0.82381,0.60325,0.38131,1.20217,0.01096,0.000991,0.000991,0.000991
184,4678.78,0.72988,0.51966,1.28623,0.01583,0.90406,0.91818,0.9609,0.82375,0.60314,0.38102,1.20205,0.01098,0.0009415,0.0009415,0.0009415
185,4703.99,0.72944,0.521,1.28235,0.01551,0.90402,0.91777,0.96094,0.82437,0.60289,0.38159,1.20204,0.01098,0.000892,0.000892,0.000892
186,4729.17,0.72572,0.51326,1.27906,0.01511,0.90395,0.91825,0.96094,0.82425,0.60321,0.38172,1.20224,0.01098,0.0008425,0.0008425,0.0008425
187,4754.37,0.72561,0.51372,1.28077,0.01452,0.9027,0.91933,0.96096,0.82406,0.60342,0.38196,1.20206,0.01099,0.000793,0.000793,0.000793
188,4779.4,0.7285,0.51194,1.28614,0.01521,0.90272,0.91956,0.96095,0.82405,0.60341,0.38224,1.20212,0.01098,0.0007435,0.0007435,0.0007435
189,4804.61,0.72371,0.51402,1.28199,0.01544,0.90276,0.91993,0.96092,0.82398,0.60347,0.38257,1.20211,0.01097,0.000694,0.000694,0.000694
190,4829.84,0.71595,0.50308,1.2809,0.01487,0.90284,0.92077,0.96092,0.8234,0.60347,0.38294,1.20194,0.01097,0.0006445,0.0006445,0.0006445
191,4856.63,0.63541,0.42051,1.2459,0.01172,0.90286,0.92099,0.96088,0.82387,0.60368,0.38313,1.20192,0.01098,0.000595,0.000595,0.000595
192,4880.97,0.63407,0.41539,1.24498,0.01269,0.90361,0.92123,0.96088,0.82331,0.60376,0.38352,1.20192,0.01101,0.0005455,0.0005455,0.0005455
193,4905.47,0.6286,0.40703,1.24248,0.01193,0.90361,0.92123,0.96083,0.82355,0.60394,0.3839,1.20195,0.011,0.000496,0.000496,0.000496
194,4929.91,0.6215,0.402,1.23693,0.01201,0.90265,0.92155,0.96087,0.82378,0.60385,0.38402,1.20198,0.01099,0.0004465,0.0004465,0.0004465
195,4954.22,0.61914,0.4044,1.23007,0.01234,0.90361,0.92117,0.96075,0.82367,0.60405,0.38451,1.20214,0.01099,0.000397,0.000397,0.000397
196,4978.55,0.6195,0.40035,1.23312,0.0118,0.90352,0.92029,0.9608,0.82363,0.60405,0.38473,1.20236,0.01099,0.0003475,0.0003475,0.0003475
197,5002.97,0.61982,0.40288,1.23606,0.01179,0.90285,0.92087,0.96082,0.82386,0.60407,0.38487,1.20242,0.01097,0.000298,0.000298,0.000298
198,5027.4,0.62255,0.40778,1.23617,0.01168,0.90363,0.91908,0.9608,0.82385,0.60413,0.38499,1.20261,0.01097,0.0002485,0.0002485,0.0002485
199,5051.75,0.61252,0.39579,1.23343,0.01159,0.90415,0.91908,0.96081,0.82366,0.6042,0.385,1.2027,0.01095,0.000199,0.000199,0.000199
200,5076.22,0.61375,0.39603,1.23009,0.01156,0.90463,0.91908,0.9608,0.82367,0.60417,0.38522,1.2026,0.01094,0.0001495,0.0001495,0.0001495
