epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,991.412,0.9751,0.86442,1.45449,0.02473,0.86463,0.87024,0.92718,0.7545,0.68747,0.50031,1.27229,0.02065,0.0081685,0.0081685,0.0081685
39,1016.47,0.98984,0.87158,1.46593,0.02507,0.87755,0.89362,0.93945,0.77125,0.67553,0.4818,1.26642,0.02005,0.008119,0.008119,0.008119
40,1041.91,0.98033,0.86603,1.45218,0.02422,0.89288,0.88687,0.94513,0.77365,0.67824,0.48063,1.27392,0.0165,0.0080695,0.0080695,0.0080695
41,1067.1,0.98658,0.86449,1.45406,0.02493,0.87494,0.88972,0.93463,0.76974,0.67812,0.48512,1.28498,0.01634,0.00802,0.00802,0.00802
42,1092.34,0.98952,0.86931,1.47467,0.02519,0.87876,0.89595,0.94357,0.77859,0.67621,0.4811,1.26303,0.01633,0.0079705,0.0079705,0.0079705
43,1117.73,0.97576,0.83678,1.45652,0.02399,0.88811,0.87173,0.93767,0.7635,0.68412,0.50096,1.26538,0.02212,0.007921,0.007921,0.007921
44,1142.85,0.97379,0.83752,1.443,0.02431,0.87309,0.87485,0.93107,0.76186,0.66678,0.49917,1.25504,0.0157,0.0078715,0.0078715,0.0078715
45,1167.98,0.98366,0.83399,1.45245,0.02451,0.87847,0.89535,0.94457,0.7754,0.6755,0.48537,1.26797,0.01845,0.007822,0.007822,0.007822
46,1193.27,0.9642,0.84818,1.44322,0.02327,0.86467,0.91164,0.93951,0.77479,0.67129,0.47183,1.25195,0.01712,0.0077725,0.0077725,0.0077725
47,1218.53,0.97699,0.83786,1.44706,0.02339,0.89793,0.88192,0.9444,0.78154,0.67146,0.4648,1.2631,0.01676,0.007723,0.007723,0.007723
48,1243.87,0.95773,0.82991,1.42841,0.02456,0.88494,0.90091,0.94521,0.78123,0.66881,0.45993,1.25672,0.01565,0.0076735,0.0076735,0.0076735
49,1268.94,0.96095,0.82091,1.44386,0.02366,0.88683,0.8943,0.94638,0.77773,0.66828,0.4688,1.2623,0.01758,0.007624,0.007624,0.007624
50,1294.2,0.95658,0.81504,1.43141,0.02369,0.87349,0.91082,0.9458,0.78622,0.64866,0.45366,1.24869,0.0151,0.0075745,0.0075745,0.0075745
51,1319.47,0.95205,0.80941,1.43705,0.02298,0.88646,0.89678,0.94345,0.78108,0.65679,0.4624,1.25702,0.01627,0.007525,0.007525,0.007525
52,1344.75,0.96566,0.81407,1.43826,0.02282,0.91237,0.89017,0.95047,0.79197,0.64671,0.44179,1.24547,0.01516,0.0074755,0.0074755,0.0074755
53,1369.94,0.94356,0.80311,1.42517,0.02208,0.88027,0.90586,0.95073,0.79493,0.64161,0.44695,1.24835,0.01618,0.007426,0.007426,0.007426
54,1395.07,0.94908,0.82073,1.43302,0.02245,0.89705,0.89224,0.94922,0.79443,0.65043,0.45757,1.25088,0.01414,0.0073765,0.0073765,0.0073765
55,1420.25,0.93483,0.78583,1.41563,0.02146,0.87636,0.91329,0.94861,0.78871,0.6607,0.44895,1.24619,0.01603,0.007327,0.007327,0.007327
56,1445.43,0.93995,0.79461,1.42241,0.02181,0.88843,0.90084,0.95134,0.78958,0.66098,0.44763,1.2576,0.01515,0.0072775,0.0072775,0.0072775
57,1470.68,0.93465,0.79834,1.42482,0.02198,0.88556,0.89926,0.94654,0.78481,0.64963,0.46452,1.24054,0.0148,0.007228,0.007228,0.007228
58,1495.73,0.92346,0.77342,1.41606,0.02254,0.90544,0.88553,0.94965,0.79607,0.65061,0.44724,1.24149,0.01519,0.0071785,0.0071785,0.0071785
59,1521.09,0.92883,0.79294,1.42245,0.02115,0.88746,0.89858,0.94924,0.78919,0.6533,0.44154,1.247,0.01392,0.007129,0.007129,0.007129
60,1546.25,0.93576,0.78725,1.42375,0.02213,0.89134,0.90766,0.94825,0.79466,0.641,0.43617,1.24447,0.01408,0.0070795,0.0070795,0.0070795
61,1571.33,0.92088,0.77635,1.40897,0.02229,0.88248,0.90834,0.9474,0.79622,0.63312,0.42567,1.23024,0.01359,0.00703,0.00703,0.00703
62,1596.72,0.93698,0.78291,1.41949,0.02177,0.89113,0.89926,0.95186,0.79732,0.64119,0.43244,1.23482,0.01324,0.0069805,0.0069805,0.0069805
63,1622.08,0.91783,0.76766,1.40408,0.02131,0.9144,0.88213,0.95317,0.79702,0.63741,0.43049,1.23623,0.01408,0.006931,0.006931,0.006931
64,1647.31,0.91115,0.75986,1.39843,0.02099,0.89611,0.90008,0.94787,0.79669,0.64536,0.4396,1.24123,0.01657,0.0068815,0.0068815,0.0068815
65,1672.39,0.91374,0.7532,1.4054,0.02154,0.91081,0.88544,0.94889,0.79055,0.63828,0.43334,1.23817,0.01451,0.006832,0.006832,0.006832
66,1697.58,0.9141,0.75719,1.41014,0.02047,0.90641,0.88769,0.95149,0.797,0.63433,0.42887,1.22835,0.01528,0.0067825,0.0067825,0.0067825
67,1722.76,0.91867,0.77081,1.42316,0.02113,0.90822,0.90751,0.9564,0.79328,0.64192,0.43017,1.23314,0.01457,0.006733,0.006733,0.006733
68,1747.95,0.89474,0.74742,1.39808,0.0198,0.91004,0.89513,0.95708,0.80063,0.63846,0.42033,1.22974,0.01384,0.0066835,0.0066835,0.0066835
69,1773.13,0.9084,0.74778,1.40328,0.01997,0.91352,0.89926,0.95677,0.80223,0.63986,0.43043,1.22607,0.01372,0.006634,0.006634,0.006634
70,1798.47,0.90811,0.74679,1.40598,0.02016,0.90337,0.90325,0.95673,0.80416,0.62487,0.42786,1.21989,0.01362,0.0065845,0.0065845,0.0065845
71,1823.82,0.90966,0.73772,1.4,0.02102,0.8923,0.90091,0.9521,0.79692,0.62825,0.4208,1.22528,0.01542,0.006535,0.006535,0.006535
72,1849.18,0.90361,0.7359,1.40392,0.02113,0.90845,0.90131,0.95562,0.80153,0.63471,0.41809,1.22884,0.01305,0.0064855,0.0064855,0.0064855
73,1874.23,0.90941,0.73728,1.40094,0.02036,0.90682,0.90814,0.95321,0.80101,0.63082,0.41919,1.22121,0.01328,0.006436,0.006436,0.006436
74,1899.43,0.90423,0.73915,1.39359,0.01999,0.91279,0.89843,0.95768,0.80746,0.63166,0.41777,1.22382,0.01263,0.0063865,0.0063865,0.0063865
75,1924.8,0.90072,0.73354,1.40261,0.02023,0.90359,0.90834,0.95426,0.80188,0.62882,0.42058,1.22652,0.01376,0.006337,0.006337,0.006337
76,1949.99,0.89527,0.72841,1.38941,0.02113,0.92511,0.89678,0.96239,0.81051,0.62837,0.41277,1.22508,0.01414,0.0062875,0.0062875,0.0062875
77,1975.19,0.88704,0.70975,1.38787,0.02036,0.90369,0.91426,0.95714,0.80641,0.63085,0.40709,1.22171,0.01335,0.006238,0.006238,0.006238
78,2000.41,0.9006,0.72338,1.39136,0.02021,0.91001,0.90504,0.95433,0.80402,0.62557,0.41466,1.22383,0.01267,0.0061885,0.0061885,0.0061885
79,2025.63,0.88569,0.72295,1.39395,0.01916,0.92169,0.90008,0.96154,0.81374,0.62403,0.40633,1.21974,0.01319,0.006139,0.006139,0.006139
80,2051.36,0.8922,0.71288,1.39302,0.02014,0.91498,0.90669,0.95873,0.80578,0.62287,0.40698,1.22426,0.01189,0.0060895,0.0060895,0.0060895
81,2076.4,0.88193,0.7056,1.38623,0.02033,0.91028,0.891,0.95649,0.80664,0.61602,0.41331,1.21909,0.01246,0.00604,0.00604,0.00604
82,2101.62,0.88889,0.71638,1.3859,0.01984,0.91024,0.89599,0.95828,0.80733,0.622,0.40733,1.22068,0.01297,0.0059905,0.0059905,0.0059905
83,2126.81,0.87757,0.71047,1.3824,0.01985,0.91355,0.8988,0.95657,0.80773,0.6217,0.40817,1.21839,0.01276,0.005941,0.005941,0.005941
84,2152.28,0.8849,0.7133,1.39341,0.01944,0.91693,0.8877,0.95221,0.80152,0.61459,0.40928,1.21803,0.01264,0.0058915,0.0058915,0.0058915
85,2177.63,0.88085,0.70905,1.38703,0.01929,0.90927,0.89926,0.95427,0.80629,0.61799,0.40446,1.21439,0.01221,0.005842,0.005842,0.005842
86,2202.8,0.86749,0.69744,1.37816,0.01896,0.90879,0.90504,0.95702,0.81003,0.61687,0.4047,1.21529,0.01247,0.0057925,0.0057925,0.0057925
87,2228.08,0.86974,0.68611,1.36902,0.02005,0.91292,0.89926,0.95735,0.81062,0.61791,0.40074,1.2136,0.01245,0.005743,0.005743,0.005743
88,2253.29,0.8697,0.69756,1.38089,0.0179,0.90946,0.90091,0.95587,0.80871,0.61637,0.4026,1.21359,0.01249,0.0056935,0.0056935,0.0056935
89,2278.52,0.88003,0.70657,1.38271,0.0192,0.91051,0.90586,0.95811,0.80931,0.61206,0.40189,1.21083,0.01194,0.005644,0.005644,0.005644
